gene,pval,qval,log2fc,mean,zero_mean,zero_variance,FDR
NSMF,0.10363888953138498,0.30854873258233567,0.2113978107127921,65.54831314086914,False,False,0.30854873258233567
CRISP1,0.989443175779737,0.989443175779737,-0.029689620690058174,33.87227072366854,False,False,0.989443175779737
TMEM131L,0.006164503772398253,0.0967445405434138,0.2241976936901867,43.67144142709127,False,False,0.0967445405434138
SATB1,0.36125999554501764,0.5777349781823217,-0.08621964742033054,50.75017333612209,False,False,0.5777349781823217
PEX5,0.5693898459625074,0.7418265258304658,0.052160064918938404,51.82267677493211,False,False,0.7418265258304658
ATG10,0.031027588621742597,0.1822550705613026,0.24645895809681492,36.514485708097126,False,False,0.1822550705613026
ZCCHC9,0.014372759535903251,0.1352003913029069,0.2099276394378049,43.273822505299634,False,False,0.1352003913029069
AFM,0.14191804589421084,0.3592215599426242,-0.7857115754087912,57.81018010581411,False,False,0.3592215599426242
AFP,0.33409801251245674,0.5539261223582426,0.1342855219194559,36.12830455128739,False,False,0.5539261223582426
INPP4A,0.10363888953138498,0.30854873258233567,0.17864324862434675,47.75020562148676,False,False,0.30854873258233567
ESRRG,0.00016262733419139335,0.023326306701886443,-0.601582471719221,51.183616638183594,False,False,0.023326306701886443
AP3M2,0.4998018503261805,0.6890056352693577,-0.05028351510249037,39.775423561654435,False,False,0.6890056352693577
PRR22,0.18142780725205976,0.4073979026195221,0.21489093493240222,44.171368296553446,False,False,0.4073979026195221
STRIP2,0.0013033961134740863,0.05312056891544278,0.286298676529243,43.45125524009146,False,False,0.05312056891544278
PSMG3,0.9052098937248174,0.948634949229174,-0.0015542262110426073,69.95575844369283,False,False,0.948634949229174
RBM20,0.5167658751032107,0.7027058857231357,0.05430000506060293,35.165377733184066,False,False,0.7027058857231357
SLC6A6,7.2761692271959875e-06,0.005222221856106624,0.7516199235965866,86.38796252739138,False,False,0.005222221856106624
CCNJ,0.020585828215956562,0.15597853377553,0.23705924501651782,37.82812081313715,False,False,0.15597853377553
TBC1D5,0.09288181160903211,0.2946831550414817,-0.13345957656485777,48.78308124077029,False,False,0.2946831550414817
ZDHHC4,0.5340234431347741,0.7152914266919593,-0.026618052691205665,57.834374404535055,False,False,0.7152914266919593
C7orf50,0.9052098937248174,0.948634949229174,-0.04794219362821534,56.79633052174638,False,False,0.948634949229174
VAV2,0.4195998914812339,0.6257137969114499,0.09943802599650843,55.09165601032535,False,False,0.6257137969114499
CYB561D1,0.8426765356863225,0.9143285017184087,0.05427305738208993,36.48607374982136,False,False,0.9143285017184087
RUNDC3B,0.32102426893048774,0.5428047197314095,0.0987439200028378,29.95195109669755,False,False,0.5428047197314095
TBCCD1,0.4195998914812339,0.6257137969114499,0.11823173476045976,48.8378649455745,False,False,0.6257137969114499
CDV3,0.20875968480124474,0.4366090706315623,0.25712558501195754,88.93439465034298,False,False,0.4366090706315623
AZI2,0.9472528184220939,0.9714026990668959,0.01929393672084572,50.841541383324596,False,False,0.9714026990668959
SPOCK2,0.003171543897712784,0.0738151908671442,0.4162772145015375,43.95109623234446,False,False,0.0738151908671442
IQCG,0.04866910562749915,0.22362166909004638,0.23817311094434507,40.32421223710223,False,False,0.22362166909004638
PHLDB2,0.6623751309779664,0.8074797106657868,0.05779701517642571,70.1235803743688,False,False,0.8074797106657868
ZNF502,0.012393581201533556,0.12912073928602216,0.21196064181732419,35.72273300915229,False,False,0.12912073928602216
TMEM130,0.18142780725205976,0.4073979026195221,0.13634015450307774,34.685446762457126,False,False,0.4073979026195221
DSG4,0.1281064902838661,0.3416480815396907,0.20270458017937323,37.18665443978659,False,False,0.3416480815396907
NOTO,0.017864187568058614,0.1461924204209591,0.36297276850305604,34.17332049113948,False,False,0.1461924204209591
LSMEM1,0.015463118729856885,0.13909289541008357,0.23119707367997908,41.46957713801686,False,False,0.13909289541008357
GSE1,0.33409801251245674,0.5539261223582426,-0.1049802172136839,57.60832977294922,False,False,0.5539261223582426
LRRC8B,0.07406050117984497,0.2649538772874461,0.2105089280791012,41.940046449986895,False,False,0.2649538772874461
LRRC8D,0.33409801251245674,0.5539261223582426,-0.05631954356968841,49.609423567609085,False,False,0.5539261223582426
TOMM6,0.0010825046496190838,0.0494557618071652,-0.38084787088157257,124.12253589164919,False,False,0.0494557618071652
AFAP1,0.13487567747478818,0.35030946944357183,0.238658781839858,40.66188644781345,False,False,0.35030946944357183
EIF4E3,0.8634310507272129,0.926417206819694,0.00494417282679066,41.90001641250238,False,False,0.926417206819694
ZNF213,0.32102426893048774,0.5428047197314095,0.11112596653221896,42.44605143477277,False,False,0.5428047197314095
PRR23C,0.1093769689410938,0.3175089514146625,0.25477078028011085,31.01937028838367,False,False,0.3175089514146625
SLC35G1,0.4195998914812339,0.6257137969114499,0.10782039453245695,35.46286689944384,False,False,0.6257137969114499
PRR23A,0.16474235681902172,0.3882103703798216,0.12268246869581402,39.42317944038204,False,False,0.3882103703798216
TRMT10A,0.37534599548446845,0.5896609742272984,-0.053669372286159464,40.171047489817546,False,False,0.5896609742272984
HOGA1,0.7408068333824819,0.8543473471750226,-0.24956822529461992,48.43893553571003,False,False,0.8543473471750226
DERL1,0.17293466931756118,0.39670346967305165,0.19331929612452,53.98030927704601,False,False,0.39670346967305165
